record_date,tax_deposit_type,tax_deposit_type_desc,tax_deposit_today_amt,tax_deposit_mtd_amt,tax_deposit_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-29,Inter-agency Transfers,null,864,7433,30977,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,29
2016-02-01,Withheld Income and Employment Taxes,null,33335,33335,786767,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,02,01
2016-02-01,Individual Income Taxes,null,121,121,21557,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,02,01
2016-02-01,Railroad Retirement Taxes,null,123,123,1933,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,02,01
2016-02-01,Excise Taxes,null,143,143,25814,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,02,01
2016-02-01,Corporation Income Taxes,null,336,336,103812,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,02,01
2016-02-01,Federal Unemployment Taxes,null,2223,2223,3913,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,02,01
2016-02-01,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,3,325,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,02,01
2016-02-01,Cash Federal Tax Deposits,Direct,116,116,10858,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,02,01
2016-02-01,Cash Federal Tax Deposits,Through Depositaries,34463,34463,900582,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,02,01
2016-02-01,Inter-agency Transfers,null,1705,1705,32681,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,02,01
2016-02-02,Withheld Income and Employment Taxes,null,6213,39548,792980,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,02,02
2016-02-02,Individual Income Taxes,null,98,219,21656,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,02,02
2016-02-02,Railroad Retirement Taxes,null,20,143,1953,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,02,02
2016-02-02,Excise Taxes,null,39,182,25853,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,02,02
